created_time,message,likes,location
2024-12-06 22:51:54,科比说过湖人就像一艘船，他是船长，这艘船即便沉了也会跟着沉下去，而不是换艘新船继续开，一只球队一个人生只有历经岁月有巅峰有低谷才会显得灿烂，而不是一直都是巅峰才能让人崇敬,114,IP属地：山东
2024-12-08 07:19:06,烂梗小鬼人家连球都没看过几场，刷烂梗就算了还扯以前的事以为自己在伸张正义呢，结果传到国外去人家老婆还挂出来点名骂，丢人显眼。,7,IP属地：广东
2024-12-06 12:29:54,真不愧是老大。,143,IP属地：北京
2024-12-06 20:17:10,"说科比种族歧视的，那完全是跟风。歧视是只喜欢自己种族，对其他种族天然无理由的排斥反感瞧不起。他歧视的是哪种人，是那种不够努力，耍大牌，没有敬业精神的人。霍华德也是黑人，他不照样看不惯，很多黑人和白人球员都被科比骂过。你见他在场上何时对姚明有过不敬和冲突吗，说过易建联怎么怎么样吗。他尊重强者和勤奋的人，和你的肤色无关。
   还有，别再动不动说什么别人歧视我们，在我心里，黑人白人根本没有资格来歧视我们，没听说弱者歧视强者的，他们无知，我从来不把他们的歧视当回事，就像一个丑八怪不喜欢你说你丑，你根本不会觉得是因为自己不够好看，是因为他无知。
反而，我们天天委屈的讲他们怎么怎么歧视我们，我们当真了，当回事了，这不恰恰说明了他们的认知是正确的吗。",21,IP属地：福建
2024-12-06 20:37:39,佩服，科比的确不是一般人,45,IP属地：四川
2024-12-06 22:52:46,@比不中说篮球 @科晓渔 科比这个思维太牛逼了,53,IP属地：海南
2024-12-06 17:32:02,林书豪至今也感谢科比怀念科比，只是当时确实存在篮球理念的分歧，霸凌是夸大其词的，拿林来黑科的多少沾点,26,IP属地：安徽
2024-12-06 20:26:18,"赢球me
输球we",32,IP属地：广东
2024-12-06 19:17:53,林书豪自己说过的，最被看不起的时候是在勇士的时候，他们会惊讶黄种人做出来的一些动作,34,IP属地：四川
2024-12-08 00:28:48,林书豪那事没那么复杂，就是科比那时候输急眼了心态炸了，于是有点把气撒在队友身上。而林恰好又是个受过良好教育，相对敏感的亚裔，不能接受这一点。客观来说科比这事确实干得不地道，但扯到什么歧视亚裔上，就是纯属恶意抹黑了。要知道科比的偶像之一是李小龙，而且是那种在公开演讲，书里都特地强调过的偶像。,22,IP属地：广东
2024-12-06 12:35:04,这点确实牛逼,80,IP属地：广西
2024-12-07 00:03:08,任何努力训练的人科比对他都好,15,IP属地：浙江
2024-12-09 16:48:12,某密经常拿林书豪来说科比歧视亚洲人，科比如此认可姚明被某密说成是姚明实力强能打服，这次孙悦的采访是彻底断了某密的后路，这能是歧视亚洲人？说到后面孙悦都动情到微泛泪光，如果科比天天歧视孙悦他会这样？我更相信林书豪和科比关系是因为私下有什么其他事情林书豪没曝光出来导致俩人不对付而不是科比种族歧视,2,IP属地：浙江
2024-12-06 23:58:39,林书豪自己都说科比很尊重他，还有某个群体谣传科比种族歧视,3,IP属地：北京
2024-12-06 12:30:14,那么,52,IP属地：上海
2024-12-07 22:04:37,孙悦说到最后好像动情了,6,IP属地：北京
2024-12-06 13:29:12,领袖,49,IP属地：西藏
2024-12-07 05:12:16,就算歧视也是歧视美国人，所以说歧视的到底是哪国人？[滑稽],3,IP属地：湖北
2024-12-06 18:22:35,反观某人赢球我，输球我们[doge],5,IP属地：山东
2024-12-06 15:12:07,为什么篮球情杰蔡杰扎就不明白这些 难道孙悦没有蔡杰懂球,9,IP属地：上海
2024-12-06 21:50:33,比叔叔比叔叔！@比不中说篮球,11,IP属地：浙江
2024-12-06 18:13:50,@比不中说篮球 比叔叔快来看看,39,IP属地：广西
2024-12-06 14:58:36,林书豪“不可能，绝对不可能[doge]”,13,IP属地：湖北
2024-12-07 00:42:21,"科比：赢球we 输球I
而有些人则刚好相反[怪我咯]",2,IP属地：福建
2024-12-14 12:37:35,这大概就是科比和詹姆斯作为领袖气质上最大的不同了吧，一个让别人和自己一起变好，一个是只让自己变好[喜极而泣],0,IP属地：上海
2024-12-06 22:43:13,还想偷一上篮呢,14,IP属地：江苏
2024-12-06 14:12:29,可惜孙悦还是没打出来，机会太少了,34,IP属地：江苏
2024-12-06 18:17:36,导师这不是一般人可以当的！,14,IP属地：上海
2024-12-06 16:15:57,孙悦这么说让我想起了杜锋，杜峰和孙悦这个亲身经历不同，他是道听途说别人对科比的描述，然后在一个充满摄像机的节目里说科比这人不行，呵,10,IP属地：浙江
2024-12-11 18:52:15,那么是谁嫌弃自己的队友呢，是谁锁喉自己的前队友，是谁在尼克斯的时候排挤自己的队友，是谁看见了自己的队友没有裤子穿，一下买了七八条一样的好裤子送给对方呢？我不太了解，也忘了这些事情了。我只知道我最后说的那个人叫蒙塔埃利斯，是个好球员。,1,IP属地：北京
2024-12-10 14:55:53,有一说一，孙悦比死神帕克强，孙悦在cba乱杀，死神帕克在cba都混不下去,1,IP属地：湖北
2024-12-06 23:37:25,这不得把我们的发言人找来@职耶演员 @比不中说篮球,6,IP属地：陕西
2024-12-06 14:44:53,猫头鹰餐厅[笑哭]，是说的Hooters吗？到那里确定是去吃饭的吗哈哈[笑哭][笑哭],30,IP属地：德国
2024-12-06 12:39:12,对于胜利的执着比肩乔丹 与他共事应该很折磨 这样的人都是变态的工作狂,6,IP属地：四川
2024-12-07 10:42:52,泪目了,1,IP属地：陕西
2024-12-07 01:34:30,然后科比就被特殊群体说性格孤僻球队毒瘤,1,IP属地：广东
2024-12-06 20:26:02,不是说科比情商低？？？,2,IP属地：广东
2024-12-06 23:03:43,积极的思维确实让人变得更强，这可以说是画大饼，也可以说是让人变强的信念，大饼能不能吃到靠很多外在因素，但是必须要有自己努力的因素在里面,5,IP属地：安徽
2024-12-06 23:00:51,一直觉得杨健很像炊事班的故事里的连长,5,IP属地：浙江
2024-12-09 13:32:25,现在都开始吹孙悦了吗？,1,IP属地：陕西
2024-12-06 21:36:12,沙宝亮？曹云金？？周杰？？？,6,IP属地：北京
2024-12-06 19:11:57,单独约你一个，包一层楼？,1,IP属地：重庆
