created_time,message,likes,location
2024-02-15 16:42:51,她是好看的,4,IP属地：江苏
2024-02-13 12:40:20,都说赵的受众是小学生，赵都98年20多岁了，天天对着一个20多岁的大姐姐叫女娥，不尬吗？,4,IP属地：广东
2024-02-12 15:04:29,说实话就是普通啊，感觉都没有我班同学好看,4,IP属地：河北
2024-02-06 17:40:39,只能说扛不住大荧幕,4,IP属地：安徽
2024-04-30 23:06:36,现场活动看真的超级小一只！头也很小，特别漂亮！,3,IP属地：福建
2024-03-08 15:18:55,评论区有些人跟傻卵一样，生活过得多不如意才在粉丝安利向找存在感，嘴我的替我和赵露思挡灾。,3,IP属地：湖北
2024-02-13 12:52:23,一群跟b站跟风黑也是乐子，骑马事件就会造谣[疑惑],3,IP属地：广东
2024-02-09 14:50:33,这场宝格丽我觉得蛮好看的,3,IP属地：上海
2024-02-07 16:33:03,普通人里面的美女 美女里的普通人 主要是小太妹,3,IP属地：山西
2024-02-07 12:26:35,虽然有硬伤但是确实是美女吧,3,IP属地：浙江
2024-05-12 00:24:04,她的程少商 桑稚是真的好美,2,IP属地：河南
2024-02-22 22:03:38,露思小太阳,2,IP属地：河南
2024-02-16 21:19:00,她在娱乐圈里就是普女……校园里至少是个班花,2,IP属地：贵州
2024-02-13 15:42:39,作为明星，真的不好看,2,IP属地：黑龙江
2024-02-13 04:20:05,p图p的一天一张脸,2,IP属地：湖北
2024-02-12 13:52:39,能不能研发一种上镜不显胖的技术……对女明星好，对观众的眼也好,2,IP属地：江苏
2024-02-11 13:42:54,娱乐圈确实普,2,IP属地：山西
2024-02-11 08:19:34,喜欢麻辣姐的什么成分[doge],2,IP属地：安徽
2024-02-09 17:13:47,是很漂亮，但是在娱乐圈就很一般，感觉适合做网红,2,IP属地：广东
2024-07-19 21:50:03,很美啊,1,IP属地：浙江
2024-04-22 16:29:04,评论区有些人真的是见不得人夸赵露思[捂脸],1,IP属地：福建
2024-02-23 14:10:20,好漂亮老婆[喜欢][嘟嘟][嘟嘟],1,IP属地：广东
2024-02-23 04:00:17,我一直都觉得她很好看……就是五官乱飞太没气质了疯疯癫癫的,1,IP属地：江苏
2024-02-23 00:17:34,反正她是真的长在我的审美点上了[喜欢][给心心],1,IP属地：河南
2024-02-20 21:00:04,再普也比虞书欣好看,1,IP属地：河南
2024-02-19 10:22:34,up主加油[给心心],1,IP属地：四川
2024-02-17 12:27:31,挺喜欢的,1,IP属地：广东
2024-02-11 15:47:31,你真是饿了,1,IP属地：四川
2024-02-10 09:07:01,确实挺好看的，就是演技很难恭维,1,IP属地：河南
2024-02-09 18:40:32,适合cos菲伦[doge],1,IP属地：山东
2024-02-09 17:51:12,没明星的感觉，反而更像是女大学生,1,IP属地：河北
2024-02-07 16:11:46,有点像品如,1,IP属地：湖南
2024-02-21 19:30:15,我觉得这个颜值在明星里也算好看的吧,0,IP属地：上海
2024-02-21 13:05:29,普啊,0,IP属地：广东
2024-02-19 00:48:30,不是大美女 但是应该只能走可爱清秀的路线 皮肤蛮好的,0,IP属地：马来西亚
2024-02-18 18:10:40,但我觉得脸还算可以，不至于普女,0,IP属地：辽宁
2024-02-14 10:03:42,衣服和化妆和滤镜和光照都好才行,0,IP属地：河南
2024-02-13 20:52:13,不要给我，我是真饿了,0,IP属地：广东
2024-02-13 15:50:01,网红罢了,0,IP属地：广东
2024-02-12 17:29:43,我真挺吃她的颜的[doge]但是性格和一些行为很扣颜值，可能这是很多人不喜欢她的原因[doge],0,IP属地：江西
2024-02-08 15:59:34,bgm 叫啥来着,0,IP属地：辽宁
2024-02-07 08:15:17,小～奶～音～,0,IP属地：安徽
2024-02-06 22:29:56,露丝女神啊啊啊,0,IP属地：江苏
